Sample,X(ms) [09.03.2026 23:20:33 132 UTC],"Pallet sensor (front)[%I2.2]","Pallet Loading sensor[%I2.0]","MEDSM_Load Sensor[%I2.1]","Pallet Belt +[%Q5.2]"
346,1773098455441.958200,0,0,0,0
347,1773098455506.134700,0,0,0,0
348,1773098455567.654500,0,0,0,0
349,1773098455633.259500,0,0,0,0
350,1773098455697.001400,1,1,1,0
351,1773098455761.225300,1,1,1,0
352,1773098455825.705600,1,1,1,0
353,1773098455890.702700,0,0,0,0
354,1773098455955.259900,0,0,0,0
355,1773098456019.826800,0,0,0,0
356,1773098456085.840200,0,0,0,0
357,1773098456148.190000,0,0,0,0
358,1773098456213.347200,0,0,0,0
359,1773098456277.940000,0,0,0,0
360,1773098456343.804100,0,0,0,0
361,1773098456407.592100,0,0,0,0
362,1773098456471.664200,0,0,0,0
363,1773098456536.039100,0,0,0,0
364,1773098456604.009400,0,0,0,0
365,1773098456665.088700,0,0,0,0
366,1773098456729.381400,0,0,0,0
367,1773098456793.768400,0,0,0,0
368,1773098456859.080300,0,0,0,0
369,1773098456923.500900,1,1,1,0
370,1773098456989.274900,1,1,1,0
371,1773098457051.320400,0,0,0,0
372,1773098457116.033900,0,0,0,0
373,1773098457180.619400,0,0,0,0
374,1773098457244.977300,0,0,0,0
375,1773098457309.914500,0,0,0,0
376,1773098457375.002800,0,0,0,0
377,1773098457439.316500,0,0,0,0
378,1773098457506.553000,0,0,0,0
379,1773098457568.030300,0,0,0,0
380,1773098457634.358000,0,0,0,0
381,1773098457696.926400,0,0,0,0
382,1773098457760.965800,0,0,0,0
383,1773098457826.724000,0,0,0,0
384,1773098457892.614700,0,0,0,0
385,1773098457954.590300,0,0,0,0
386,1773098458018.880400,1,1,1,0
387,1773098458083.355300,1,1,1,0
388,1773098458148.093500,0,0,0,0
389,1773098458212.216900,0,0,0,0
390,1773098458277.440800,0,0,0,0
391,1773098458342.182100,0,0,0,0
392,1773098458408.893800,0,0,0,0
393,1773098458470.251800,0,0,0,0
394,1773098458534.685500,0,0,0,0
395,1773098458600.299900,0,0,0,0
396,1773098458664.105400,0,0,0,0
397,1773098458728.440400,0,0,0,0
398,1773098458793.218100,0,0,0,0
399,1773098458857.337800,0,0,0,0
400,1773098458924.464700,0,0,0,0
401,1773098458985.805200,0,0,0,0
402,1773098459050.366300,0,0,0,0
403,1773098459115.115300,0,0,0,0
404,1773098459179.717000,1,1,1,0
