Sample,X(ms) [09.03.2026 23:32:18 281 UTC],"SP X_2[%QD48]","SP Y_2[%QD52]","SP Z_2[%QD56]","SP X_1[%QD36]","SP Y_1[%QD40]","SP Z_1[%QD44]","Box Weight[%ID32]"
198,1773099150973.142700,0,0,0,0,0,0,0
199,1773099151036.234000,0,0,0,0,0,0,0
200,1773099151099.504200,0,0,0,0,0,0,0
201,1773099151162.777300,0,0,0,0,0,0,0
202,1773099151226.826300,0,0,0,0,0,0,0
203,1773099151288.880700,0,0,0,0,0,0,0
204,1773099151354.166100,0,0,0,0,0,0,0
205,1773099151415.966300,0,0,0,0,0,0,0
206,1773099151482.427900,0,0,0,0,0,0,0
207,1773099151542.475400,0,0,0,0,0,0,5.54173135757446
208,1773099151607.007300,0,0,0,0,0,0,5.18150472640991
209,1773099151670.661900,0,0,0,0,0,0,0
210,1773099151736.801600,0,0,0,0,0,0,0
211,1773099151795.812400,0,0,0,0,0,0,0
212,1773099151859.001100,0,0,0,0,0,0,0
213,1773099151922.226300,0,0,0,0,0,0,0
214,1773099151985.931900,0,0,0,0,0,0,0
215,1773099152049.030300,0,0,0,0,0,0,0
216,1773099152113.312000,0,0,0,0,0,0,0
217,1773099152176.095100,0,0,0,0,0,0,0
218,1773099152239.222800,0,0,0,0,0,0,4.37937927246094
219,1773099152302.534900,0,0,0,0,0,0,5.38581705093384
220,1773099152366.375600,0,0,0,0,0,0,0
221,1773099152430.328800,0,0,0,0,0,0,0
222,1773099152492.974800,0,0,0,0,0,0,0
223,1773099152555.702700,0,0,0,0,0,0,0
224,1773099152619.208100,0,0,0,0,0,0,0
225,1773099152683.149200,0,0,0,0,0,0,0
226,1773099152746.932200,0,0,0,0,0,0,0
227,1773099152809.624100,0,0,0,0,0,0,0
228,1773099152873.424300,0,0,0,0,0,0,0
229,1773099152937.132400,0,0,0,0,0,0,0
230,1773099153001.772100,0,0,0,0,0,0,0.0216262824833393
231,1773099153065.892400,0,0,0,0,0,0,0
232,1773099153125.665600,0,0,0,0,0,0,0
233,1773099153189.524600,0,0,0,0,0,0,0
234,1773099153252.163700,0,0,0,0,0,0,0
235,1773099153315.743600,0,0,0,0,0,0,0
236,1773099153379.646200,0,0,0,0,0,0,0
237,1773099153442.215800,0,0,0,0,0,0,0
238,1773099153506.365300,0,0,0,0,0,0,0
239,1773099153569.289600,0,0,0,0,0,0,0
240,1773099153633.040300,0,0,0,0,0,0,0.0156433098018169
241,1773099153696.157000,0,0,0,0,0,0,0
242,1773099153759.161000,0,0,0,0,0,0,0
243,1773099153822.202700,0,0,0,0,0,0,0
244,1773099153885.735700,0,0,0,0,0,0,0
245,1773099153949.037500,0,0,0,0,0,0,0
246,1773099154012.867900,0,0,0,0,0,0,0
247,1773099154076.098900,0,0,0,0,0,0,0
248,1773099154139.007500,0,0,0,0,0,0,0
249,1773099154202.378700,0,0,0,0,0,0,0
250,1773099154265.603200,0,0,0,0,0,0,0.0128707885742188
251,1773099154329.118000,0,0,0,0,0,0,0
252,1773099154392.442200,0,0,0,0,0,0,0
253,1773099154456.361800,0,0,0,0,0,0,0
254,1773099154520.483700,0,0,0,0,0,0,0
255,1773099154582.071400,0,0,0,0,0,0,0
256,1773099154647.302300,0,0,0,0,0,0,0
257,1773099154708.535500,0,0,0,0,0,0,0
258,1773099154774.646700,0,0,0,0,0,0,0
259,1773099154835.089600,0,0,0,0,0,0,0
260,1773099154898.604200,0,0,0,0,0,0,0
261,1773099154963.004000,0,0,0,0,0,0,0
262,1773099155024.836300,0,0,0,0,0,0,0.0478851310908794
263,1773099155088.023000,0,0,0,0,0,0,0
264,1773099155152.399800,0,0,0,0,0,0,0
265,1773099155215.170500,0,0,0,0,0,0,0
266,1773099155278.234800,0,0,0,0,0,0,0
267,1773099155341.163800,0,0,0,0,0,0,0
268,1773099155404.650500,0,0,0,0,0,0,0
269,1773099155468.931600,0,0,0,0,0,0,0
270,1773099155533.631000,0,0,0,0,0,0,0
271,1773099155594.033200,0,0,0,0,0,0,0
272,1773099155658.578400,0,0,0,0,0,0,0
273,1773099155720.919200,0,0,0,0,0,0,0
274,1773099155787.527100,0,0,0,0,0,0,0
275,1773099155847.596600,0,0,0,0,0,0,0
276,1773099155912.666900,0,0,0,0,0,0,0
277,1773099155975.966200,0,0,0,0,0,0,0
278,1773099156037.663800,0,0,0,0,0,0,0
279,1773099156100.991400,0,0,0,0,0,0,0
280,1773099156166.112400,0,0,0,0,0,0,0
281,1773099156228.298300,0,0,0,0,0,0,0
282,1773099156291.094300,0,0,0,0,0,0,0
283,1773099156354.640900,0,0,0,0,0,0,0
284,1773099156418.071600,0,0,0,0,0,0,0
285,1773099156481.429300,0,0,0,0,0,0,0
286,1773099156544.408500,0,0,0,0,0,0,0
287,1773099156607.516200,0,0,0,0,0,0,0
288,1773099156670.827900,0,0,0,0,0,0,0
289,1773099156738.596600,0,0,0,0,0,0,0
290,1773099156798.043800,0,0,0,0,0,0,0
291,1773099156862.892500,0,0,0,0,0,0,0
292,1773099156924.071000,0,0,0,0,0,0,0
293,1773099156987.710100,0,0,0,0,0,0,0
294,1773099157051.065500,0,0,0,0,0,0,0
295,1773099157114.718700,0,0,0,0,0,0,0.0363357551395893
296,1773099157180.185200,0,0,0,0,0,0,0
297,1773099157241.057800,0,0,0,0,0,0,0
298,1773099157304.331900,0,0,0,0,0,0,0
299,1773099157367.558300,0,0,0,0,0,0,0
300,1773099157431.609600,0,0,0,0,0,0,0
301,1773099157496.388200,0,0,0,0,0,0,0
302,1773099157558.080700,0,0,0,0,0,0,0
303,1773099157620.825300,0,0,0,0,0,0,0
304,1773099157684.452800,0,0,0,0,0,0,0
305,1773099157747.499500,0,0,0,0,0,0,0
306,1773099157814.497200,0,0,0,0,0,0,0.0184677131474018
307,1773099157873.750900,0,0,0,0,0,0,0
308,1773099157938.825700,0,0,0,0,0,0,0
309,1773099158000.090600,0,0,0,0,0,0,0
310,1773099158064.066800,0,0,0,0,0,0,0
311,1773099158127.163500,0,0,0,0,0,0,0
312,1773099158190.625500,0,0,0,0,0,0,0
313,1773099158254.421300,0,0,0,0,0,0,0
314,1773099158317.439900,0,0,0,0,0,0,0
315,1773099158381.105700,0,0,0,0,0,0,0
316,1773099158444.086700,0,0,0,0,0,0,0.013516235165298
317,1773099158507.309700,0,0,0,0,0,0,0
318,1773099158570.730800,0,0,0,0,0,0,0
319,1773099158634.023400,0,0,0,0,0,0,0
320,1773099158697.769000,0,0,0,0,0,0,0
321,1773099158760.618600,0,0,0,0,0,0,0
322,1773099158824.132300,0,0,0,0,0,0,0
323,1773099158889.457600,0,0,0,0,0,0,0
324,1773099158950.561200,0,0,0,0,0,0,0
325,1773099159015.277800,0,0,0,0,0,0,0
326,1773099159078.535500,0,0,0,0,0,0,0
327,1773099159140.707200,0,0,0,0,0,0,0
328,1773099159204.361900,0,0,0,0,0,0,0
329,1773099159269.154800,0,0,0,0,0,0,0
